Designator,Mid X,Mid Y,Rotation,Layer
C1,122.25,-122.0,270.0,top
C2,139.25,-128.25,90.0,top
D1,178.641039,-122.1,180.0,bottom
D2,169.011039,-122.1,180.0,bottom
D3,159.591039,-122.1,180.0,bottom
D4,149.961039,-122.1,180.0,bottom
D5,140.541039,-122.1,180.0,bottom
D6,130.911039,-122.1,180.0,bottom
J1,109.75,-121.5,0.0,top
R1,135.223,-113.0,270.0,top
R2,132.9,-113.0,270.0,top
R3,130.6,-113.0,270.0,top
R4,128.238,-113.0,270.0,top
R5,128.0,-130.3375,90.0,top
SW1,109.851039,-62.482664,180.0,bottom
SW2,109.851039,-81.532664,180.0,bottom
SW3,173.826039,-107.407664,180.0,bottom
SW4,154.776039,-107.407664,180.0,bottom
SW5,135.726039,-107.407664,180.0,bottom
U1,132.425,-122.1,180.0,top
