Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7",1206,4,100n,
"C4, C5, C6",C_Radial_D6.3mm_H7.0mm_P2.50mm,3,100u,
J1,TE Connectivity_292304_USB_B,1,USB_B,
J10,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,JST PH,
J11,TerminalBlock_WAGO_2601-3102_1x02_P3.50mm_Vertical,1,Conn_01x02,
"J2, J3",PHOENIX_1337243,2,RJ45_LED_Shielded,C386757
"J4, J5",TerminalBlock_WAGO_2601-3105_1x05_P3.50mm_Vertical,2,Conn_01x07,
"J6, J7, J8",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,3,JST PH,
J9,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,1,JST PH,
R1,1206,1,10k,
"R19, R20",1206,2,150,C2907432
SW1,SW-SMD_L3.9-W3.0-P4.45,1,Reset,
SW2,SW-SMD_L3.9-W3.0-P4.45,1,Boot,
SW3,SW-TH_SS13E05LX,1,PWR Sel,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T,
